depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_6,lineage_4,BRCA1,ROS1,RAD51,MLH1,KEAP1,PGR,PALB2,ABCB1,ESR1,MSH2,SOX10,CCNE1,CDK6,MET,GATA3,RAD51C,AREG,CCND1,VEGFA,STK11,PIK3CA,EREG,FOXA1,TOP2A,KRAS,APC,CDK4,MDM2,MYC,BRCA2,RB1,TP53,SMAD4,ERBB2,AKT1,EGFR,CDKN2A,MKI67,ATM,KIT,BRAF,RET,CTNNB1,ALK,PTEN,HRAS,CHEK2,RAD51D,MITF,NF1,MTOR,TOP1,NRAS
ACH-000135,HS940T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",,,2.7380414009,0.0479138456,3.5275082588,5.0985584259,5.6185002327,0.9296448231,2.7544813156,0.3367392719,0.5881204605,3.556012392,0.2688295841,3.0421013832,4.1859221458,3.4748513699,0.3155140579,4.4047465324,0.7387168407,8.996052742,6.7481660843,4.6846113205,3.6645853519,0.5231704712,0.0834870711,5.4207653999,4.3155155182,3.5471782684,7.3065905571,5.2190871239,4.7449307442,1.4243847132,4.5744891167,4.8791909218,5.4536099434,4.9328217506,6.8083848953,3.2550354004,4.0372242928,3.9720675945,4.712061882,4.3734116554,3.1373755932,0.3232028782,7.359398365,0.0659706667,5.2408943176,5.5806279182,2.9760005474,3.1596341133,1.7504907846,4.4807949066,4.1766576767,4.6759853363,5.0372767448
ACH-000441,SH4,Skin,Melanoma,Melanoma,,,4.676887989,0.0102184033,3.6224970818,4.623814106,6.1146125793,0.002100477,3.1373853683,0.3838043511,0.2056615055,5.0087332726,7.7156052589,3.5001773834,3.7244100571,5.7161374092,0.8636649251,5.7493600845,0.3076616824,7.0466003418,7.8957629204,4.2137126923,3.3530013561,0.0671375394,0.2947848141,5.2663931847,4.2378926277,3.4705369473,7.6260957718,5.0884680748,6.3012933731,2.223243475,4.3804106712,4.1522727013,5.0080518723,3.5989129543,6.6866407394,0.1546324641,0.3750961721,4.7740383148,5.4623498917,0.0291715637,3.8258974552,0.0795453712,9.3146286011,0.6917744279,5.3513031006,5.516872406,2.7766873837,3.8386492729,7.3403038979,4.3286066055,4.7137618065,5.6555466652,4.9936199188
ACH-003064,TE130T,Bone,Other,Sacrococcygeal teratoma,,,2.8652379513,0.7496072054,2.64158535,5.1862192154,4.980322361,0.1874371171,3.0893371105,0.1708223969,0.6406561136,3.7833414078,0.0,2.3030529022,4.549182415,6.1795907021,0.031378258,4.6057548523,0.7741827965,8.2860355377,6.2063484192,4.1121497154,4.4948954582,5.8123826981,0.1792358607,5.4260969162,4.8924589157,4.1131920815,7.2742338181,6.4764304161,4.8153190613,1.6546509266,5.16040802,5.1148123741,5.3963856697,4.6986408234,6.3615560532,5.2592310905,3.3723073006,3.475240469,5.2024803162,1.518666029,3.5590145588,0.175985679,7.3913898468,0.0,5.7952814102,5.1676468849,3.3970265388,2.9352729321,3.8837184906,4.7794070244,3.8208630085,5.6169195175,6.2749938965
ACH-000772,TE441T,Soft Tissue,CIC-DUX4 Sarcoma,CIC-DUX4 Sarcoma,CIC::DUX4,,4.7459635735,0.0184604134,5.5427780151,5.3559360504,6.5649724007,0.0056040711,3.3501393795,0.264698565,0.0,5.0111465454,0.6036052108,5.7755327225,0.4984091818,2.2319514751,6.1789317131,6.2522301674,0.7364784479,8.3420305252,7.4255433083,5.2693924904,3.3170073032,0.667034626,0.2878835797,7.3673100471,6.1150083542,4.1448783875,8.2844171524,6.5584082603,6.2163324356,2.2213079929,2.0550706387,6.1423377991,5.9473996162,5.3532772064,7.1863222122,0.7153943777,4.1946783066,6.2565107346,5.1904764175,0.353918314,4.4823451042,3.7075357437,9.3020038605,0.7570411563,5.1188955307,6.670372963,4.1191239357,3.3115975857,1.1855493784,6.0517396927,5.2809786797,6.3033752441,5.7265095711
ACH-000125,TO175T,Fibroblast,Non-Cancerous,"Fibroblast, Lymphoid",,,4.0918097496,0.1879564673,4.7994346619,5.5149903297,6.0033998489,0.6346359849,2.8029046059,0.0932599753,0.500569582,4.2286801338,0.0831793249,3.2184355259,3.8939154148,2.6495418549,0.1386336237,5.1339783669,0.7883182168,8.5729122162,6.7459096909,4.9157361984,3.9286072254,4.8539209366,0.2093984634,7.1473984718,4.9906873703,3.6545844078,7.2409343719,5.6716017723,4.8899989128,3.0545186996,4.9416131973,4.8011689186,5.8145427704,5.0251970291,7.1524572372,4.0382781029,4.3638086319,5.4321975708,5.2434635162,4.103741169,3.2980761528,0.1091866866,7.3818368912,0.1871494949,5.5278520584,5.7459230423,3.8663244247,3.5019104481,1.7304878235,5.1559557915,4.232852459,4.6163930893,5.2607030869
ACH-003221,HS38T,Fibroblast,Non-Cancerous,Fibroblast,,,1.2543823719,0.0,1.8874901533,4.7932872772,5.4487819672,0.0,1.7264083624,0.2106718868,0.1975068748,3.232847929,0.0,2.4421100616,4.2510828972,4.1394529343,0.3593029976,4.6435389519,0.2689661086,8.2838850021,6.4554719925,4.5924568176,4.0615258217,4.0047168732,0.0142081594,2.7144191265,4.3561296463,2.6125035286,7.2119274139,6.4873671532,3.8343572617,0.4139330685,4.7694225311,5.0029726028,5.1601901054,5.3894119263,6.254881382,5.0435938835,4.3157038689,0.6807734966,4.7285680771,3.1349403858,2.5134882927,0.346162647,7.0878338814,0.0515461192,6.3914499283,4.6974349022,2.641430378,2.7419307232,2.1160652637,4.2367219925,4.0217194557,5.1092600822,5.1094021797
ACH-000008,A101D,Skin,Melanoma,Melanoma,,,4.3883757591,0.0813178122,3.6014349461,4.9505057335,6.4657931328,0.0050693699,3.023157835,2.4714345932,0.1807029247,4.7306346893,7.3372917175,4.3249907494,4.654211998,4.7381353378,0.3557763398,5.8691902161,1.7879631519,5.9762835503,6.0955867767,4.8903102875,3.3424823284,1.989974618,0.1506701559,6.2637348175,4.1008515358,3.1147067547,8.3390569687,6.6388745308,3.5178174973,2.3049430847,5.1388349533,4.5690169334,5.1626772881,4.0177526474,6.3436403275,2.8583569527,0.0636520386,5.2198228836,4.8920459747,0.011932103,3.8217511177,0.0080049057,7.8066334724,1.2520279884,3.2062478065,5.1233558655,4.8507795334,3.3174819946,4.8331179619,4.5777549744,5.0870895386,6.002614975,5.4608864784
ACH-001442,A388,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,,,3.2988400459,0.0425308794,3.6944234371,4.3112707138,5.2585000992,0.002182588,3.3840830326,0.0518871322,1.2743451595,4.2279028893,0.0601041205,2.2791235447,3.6877214909,5.9060440063,2.3402347565,4.6946182251,7.9627399445,6.5778546333,7.6107811928,4.915104866,4.093940258,3.4947741032,2.6355662346,5.2163658142,3.8817625046,2.5834228992,7.7721428871,4.5497245789,6.7610988617,2.3423612118,4.7151026726,4.3411035538,0.9781333804,4.5897154808,5.2870178223,7.9784474373,6.7528824806,4.6598505974,2.8617053032,0.1228529215,2.2075867653,0.0071050609,6.2405433655,0.1170726195,4.3372831345,6.2515697479,4.8911809921,2.3776624203,0.9298781157,3.7451620102,3.6910204887,5.3834137917,5.654613018
ACH-001341,DOTC24510,Cervix,Mixed Cervical Carcinoma,Mixed Cervical Carcinoma,,,4.0172362328,0.0095664617,4.0707240105,5.0052337646,5.7643008232,0.0,4.1112318039,0.0,0.3643673658,5.552315712,0.0,5.1572217941,4.1301317215,7.4535999298,3.5437803268,5.9823660851,9.3142166138,6.2004613876,7.0337424278,4.3319916725,4.4357151985,7.6877393723,4.615357399,6.1446785927,3.4567193985,3.3115918636,8.1199111938,6.5546350479,8.4071445465,1.4904879332,2.0644621849,5.0917463303,4.4188508987,5.1973700523,6.8729643822,6.0629138947,7.7333679199,4.1645851135,3.5461535454,0.0053827399,2.1259782314,2.622335434,5.705198288,0.0107082389,4.3429670334,4.1519560814,3.995285511,2.9556772709,4.1084489822,4.0860280991,4.7905950546,6.3399281502,5.3337097168
ACH-000529,T173,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,,4.1285243034,0.3153784275,4.1217947006,5.2796869278,5.7252669334,0.2275266945,2.7751178741,1.3636476994,0.7883741856,4.1296539307,0.3757901192,3.4857616425,4.3554463387,5.3370046616,0.1495299339,5.3838009834,1.3315447569,9.3242816925,7.3239374161,4.9105024338,3.8703844547,2.9565289021,0.2236400247,6.904484272,4.8695902824,4.2310023308,7.0717625618,5.2768874168,4.8651862144,2.2336273193,4.9385256767,5.4840574265,5.6430220604,4.9196310043,6.7100071907,4.2725682259,5.5966014862,5.1503119469,4.9710283279,3.0464351177,3.6933307648,0.2453167588,7.4790525436,0.0944171548,5.2944407463,5.3973546028,3.8145503998,4.0174856186,1.6641368866,4.7897238731,4.0129618645,4.5755300522,5.2314591408
